,CV_Mean_R2,CV_Std_R2,MAE,MSE,R2
STACKING_LINEAR_WITH_RIDGE_SVR_BAYESIAN_RF_GB_KNN,0.4334411975423528,0.7064681692515405,0.2720034799953581,0.12509647648066402,0.8611496165606826
STACKING_RIDGE_WITH_RIDGE,0.18457393799612137,0.23550977728730937,0.6268716198094968,0.5814485814053261,0.35462324159980874
STACKING_RIDGE_WITH_SVR,0.6629735266880534,0.07160489262984447,0.39022387888941906,0.2673171548900167,0.7032922868764944
STACKING_RIDGE_WITH_BAYESIAN,0.08470706075326302,0.14927743104205451,0.6737189244459629,0.6578198388716923,0.26985523948436263
STACKING_RIDGE_WITH_RF,0.5372267137298994,0.09285163193014938,0.5284975890990045,0.5317697067340575,0.40976412958481623
STACKING_RIDGE_WITH_GB,0.6754921637303635,0.09736907273273024,0.5210494125807272,0.6144798333088242,0.3179603225367741
STACKING_RIDGE_WITH_KNN,-0.14190274368086467,0.18866767073627314,0.6833161778594375,0.6882566615182859,0.23607199782921273
STACKING_RIDGE_WITH_RIDGE_SVR,0.6287951712926588,0.10266160913381636,0.35688490329932215,0.2361513388565191,0.7378846721154123
STACKING_RIDGE_WITH_RIDGE_BAYESIAN,0.14137930643876545,0.14263607474264342,0.6055392144872395,0.5415935005777403,0.3988602449959088
STACKING_RIDGE_WITH_RIDGE_RF,0.5475471087527751,0.15787934817363838,0.47445637396810714,0.4530743798811084,0.4971117241439913
